,subcategoria,descricao_subcategoria,categoria,descricao_categoria,capitulo,descricao_capitulo,causa_violencia,causa_overdose
0,A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",A00,Cólera,I,Algumas doenças infecciosas e parasitárias,0,0
1,A009,Cólera não especificada,A00,Cólera,I,Algumas doenças infecciosas e parasitárias,0,0
2,A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",A00,Cólera,I,Algumas doenças infecciosas e parasitárias,0,0
3,A011,Febre paratifóide A,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0
4,A013,Febre paratifóide C,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0
5,A010,Febre tifóide,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0
6,A012,Febre paratifóide B,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0
7,A014,Febre paratifóide não especificada,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0
8,A020,Enterite por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0
9,A029,Infecção não especificada por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0
10,A028,Outras infecções especificadas por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0
11,A021,Septicemia por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0
12,A022,Infecções localizadas por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0
13,A030,Shiguelose devida a Shigella dysenteriae,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0
14,A039,Shiguelose não especificada,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0
15,A038,Outras shigueloses,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0
16,A031,Shiguelose devida a Shigella flexneri,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0
17,A032,Shiguelose devida a Shigella boydii,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0
18,A033,Shiguelose devida a Shigella sonnei,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0
19,A048,Outras infecções bacterianas intestinais especificadas,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
20,A047,Enterocolite devida a Clostridium difficile,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
21,A043,Infecção por Escherichia coli enterohemorrágica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
22,A049,Infecção intestinal bacteriana não especificada,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
23,A046,Enterite devida a Yersinia enterocolítica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
24,A040,Infecção por Escherichia coli enteropatogênica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
25,A042,Infecção por Escherichia coli enteroinvasiva,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
26,A045,Enterite por Campylobacter,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
27,A041,Infecção por Escherichia coli enterotoxigênica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
28,A044,Outras infecções intestinais por Escherichia coli,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0
29,A054,Intoxicação alimentar devida a Bacillus cereus,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
30,A050,Intoxicação alimentar estafilocócica,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
